input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence,validation_verdict,validation_reason_codes
Old National Bank,Evansville,IN,208244,OLD NATIONAL BANK,NAT,EVANSVILLE,IN,active,100.0,100.0,"state,city",strong,accept,composite_capped
Glacier Bank,Kalispell,MT,2634191,GLACIER BANK,NMB,KALISPELL,MT,active,100.0,100.0,"state,city",strong,accept,composite_capped
First National Bank,Altavista,LA,845733,FIRST NATIONAL BANK,NAT,COVINGTON,LA,closed,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Citizens Bank,Providence,RI,3303298,"CITIZENS BANK, NATIONAL ASSOCIATION",NAT,PROVIDENCE,RI,active,100.0,90.0,"state,city",strong,accept,composite_capped
Umpqua Bank,Portland,OR,5248012,COLUMBIA BANK COMMUNITY IMPACT FUND,DEO,PORTLAND,OR,active,100.0,85.5,"state,city",strong,review,"moderate_name_score,composite_capped"
Woodforest National Bank,The Woodlands,TX,412751,WOODFOREST NATIONAL BANK,NAT,THE WOODLANDS,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Bank of America,Charlotte,NC,3789230,"BANK OF AMERICA CHARITABLE FOUNDATION, INC., THE",DEO,CHARLOTTE,NC,active,100.0,90.0,"state,city",strong,accept,composite_capped
First National Bank Of Omaha,Omaha,NE,527954,FIRST NATIONAL BANK OF OMAHA,NAT,OMAHA,NE,active,100.0,100.0,"state,city",strong,accept,composite_capped
Space Coast Credit Union,Ottawa,FL,26998,SPACE COAST CREDIT UNION,SCU,MELBOURNE,FL,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Farmers & Merchants Bank Of Long Beach,Long Beach,CA,871769,FARMERS AND MERCHANTS BANK OF LONG BEACH,SMB,LONG BEACH,CA,active,100.0,94.9,"state,city",strong,accept,composite_capped
Commerce Bank,Laredo,MO,601050,COMMERCE BANK,SMB,KANSAS CITY,MO,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
United Bank,Charleston,NY,2327475,UNITE,BHC,NEW YORK,NY,closed,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
Twinstar Credit Union,Lacey,WA,419282,PEOPLE'S COMMUNITY FEDERAL CREDIT UNION,FCU,VANCOUVER,WA,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
First National Bank Of Pennsylvania,Pittsburgh,NY,602105,FIRST NATIONAL BANK,NAT,HIGHLAND FALLS,NY,closed,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
Seacoast Commerce Bank,San Diego,CA,2917317,AXOS BANK,CSA,SAN DIEGO,CA,active,100.0,85.5,"state,city",strong,review,"moderate_name_score,composite_capped"
Oklahoma Educators Credit Union,Oklahoma City,OK,398695,OKLAHOMA EDUCATORS CREDIT UNION,SCU,OKLAHOMA CITY,OK,active,100.0,100.0,"state,city",strong,accept,composite_capped
Republic Bank,Blanchard,OK,509259,REPUBLIC BANK,NMB,OKLAHOMA CITY,OK,closed,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Bankers Financial Corporation,St Petersburg,FL,3838839,PARTNERS FINANCIAL CORPORATION,SLHC,NAPLES,FL,closed,100.0,91.5,"state,city",strong,accept,"city_mismatch,composite_capped"
Parishioners Federal Credit Union,Torrance,CA,721480,PARISHIONERS FEDERAL CREDIT UNION,FCU,TORRANCE,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
First Bank,Nashville,IL,804338,FIRST BANK CHICAGO,NMB,HIGHLAND PARK,IL,active,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
Union Pacific Streamliner Federal Credit Union,Omaha,NE,234476,UNION PACIFIC STREAMLINER FEDERAL CREDIT UNION,FCU,OMAHA,NE,active,100.0,100.0,"state,city",strong,accept,composite_capped
Health Credit Services,Charlotte,NC,5447468,HEALTH CREDIT SERVICES LLC,FNC,CHARLOTTE,NC,active,100.0,95.0,"state,city",strong,accept,composite_capped
Tinker Federal Credit Union,Oklahoma City,OK,220590,TINKER FEDERAL CREDIT UNION,FCU,OKLAHOMA CITY,OK,active,100.0,100.0,"state,city",strong,accept,composite_capped
Sandy Spring Bank,Olney,MD,1248304,"SANDY SPRING BANCORP, INC.",BHC,OLNEY,MD,closed,100.0,87.3,"state,city",strong,review,"moderate_name_score,composite_capped"
Ent Credit Union,Colorado Springs,CO,813198,AVENTA CREDIT UNION,SCU,COLORADO SPRINGS,CO,closed,100.0,91.4,"state,city",strong,accept,composite_capped
Bank2,Oklahoma City,OK,5202760,"BANK2 INSURANCE AGENCY, LLC",DEO,OKLAHOMA CITY,OK,active,100.0,90.0,"state,city",strong,accept,composite_capped
Flagship Credit Acceptance,Chadds Ford,PA,23474,PITTSBURGH FIREFIGHTERS' FEDERAL CREDIT UNION,FCU,PITTSBURGH,PA,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Suncoast Credit Union,Yampa,FL,25085,SUNCOAST CREDIT UNION,SCU,TAMPA,FL,active,100.0,100.0,"state,city",strong,accept,"city_mismatch,composite_capped"
United Bank Of Michigan,Grand Rapids,MI,150044,UNITED BANK OF MICHIGAN,NMB,GRAND RAPIDS,MI,active,100.0,100.0,"state,city",strong,accept,composite_capped
TCF Bank,Wayzata,MN,3971,MIDCOUNTRY BANK,CSA,BLOOMINGTON,MN,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Axos Bank,San Diego,CA,2917317,AXOS BANK,CSA,SAN DIEGO,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
