input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence
Farmers & Merchants Bank Of Long Beach,Long Beach,CA,871769,FARMERS AND MERCHANTS BANK OF LONG BEACH,SMB,LONG BEACH,CA,active,100.0,94.9,"state,city",strong
Commerce Bank,Laredo,MO,601050,COMMERCE BANK,SMB,KANSAS CITY,MO,active,100.0,100.0,state,strong
United Bank,Charleston,NY,2327475,UNITE,BHC,NEW YORK,NY,closed,100.0,90.0,state,strong
Twinstar Credit Union,Lacey,WA,419282,PEOPLE'S COMMUNITY FEDERAL CREDIT UNION,FCU,VANCOUVER,WA,active,100.0,85.5,state,strong
First National Bank Of Pennsylvania,Pittsburgh,NY,602105,FIRST NATIONAL BANK,NAT,HIGHLAND FALLS,NY,closed,100.0,90.0,state,strong
Seacoast Commerce Bank,San Diego,CA,2917317,AXOS BANK,CSA,SAN DIEGO,CA,active,100.0,85.5,"state,city",strong
Oklahoma Educators Credit Union,Oklahoma City,OK,398695,OKLAHOMA EDUCATORS CREDIT UNION,SCU,OKLAHOMA CITY,OK,active,100.0,100.0,"state,city",strong
Republic Bank,Blanchard,OK,509259,REPUBLIC BANK,NMB,OKLAHOMA CITY,OK,closed,100.0,100.0,state,strong
Bankers Financial Corporation,St Petersburg,FL,3838839,PARTNERS FINANCIAL CORPORATION,SLHC,NAPLES,FL,closed,100.0,91.5,"state,city",strong
Parishioners Federal Credit Union,Torrance,CA,721480,PARISHIONERS FEDERAL CREDIT UNION,FCU,TORRANCE,CA,active,100.0,100.0,"state,city",strong
First Bank,Nashville,IL,804338,FIRST BANK CHICAGO,NMB,HIGHLAND PARK,IL,active,100.0,90.0,state,strong
Union Pacific Streamliner Federal Credit Union,Omaha,NE,234476,UNION PACIFIC STREAMLINER FEDERAL CREDIT UNION,FCU,OMAHA,NE,active,100.0,100.0,"state,city",strong
Health Credit Services,Charlotte,NC,5447468,HEALTH CREDIT SERVICES LLC,FNC,CHARLOTTE,NC,active,100.0,95.0,"state,city",strong
Tinker Federal Credit Union,Oklahoma City,OK,220590,TINKER FEDERAL CREDIT UNION,FCU,OKLAHOMA CITY,OK,active,100.0,100.0,"state,city",strong
Sandy Spring Bank,Olney,MD,1248304,"SANDY SPRING BANCORP, INC.",BHC,OLNEY,MD,closed,100.0,87.3,"state,city",strong
Ent Credit Union,Colorado Springs,CO,813198,AVENTA CREDIT UNION,SCU,COLORADO SPRINGS,CO,closed,100.0,91.4,"state,city",strong
Bank2,Oklahoma City,OK,5202760,"BANK2 INSURANCE AGENCY, LLC",DEO,OKLAHOMA CITY,OK,active,100.0,90.0,"state,city",strong
Flagship Credit Acceptance,Chadds Ford,PA,23474,PITTSBURGH FIREFIGHTERS' FEDERAL CREDIT UNION,FCU,PITTSBURGH,PA,active,100.0,85.5,state,strong
Suncoast Credit Union,Yampa,FL,25085,SUNCOAST CREDIT UNION,SCU,TAMPA,FL,active,100.0,100.0,"state,city",strong
United Bank Of Michigan,Grand Rapids,MI,150044,UNITED BANK OF MICHIGAN,NMB,GRAND RAPIDS,MI,active,100.0,100.0,"state,city",strong
TCF Bank,Wayzata,MN,3971,MIDCOUNTRY BANK,CSA,BLOOMINGTON,MN,active,100.0,85.5,state,strong
Axos Bank,San Diego,CA,2917317,AXOS BANK,CSA,SAN DIEGO,CA,active,100.0,100.0,"state,city",strong
Commonwealth Bank & Trust,Louisville,KY,641449,"CITIZENS BANK AND TRUST OF LEBANON, INC.",SMB,LEBANON,KY,active,100.0,85.5,state,strong
Southern Bank,Poplar Bluff,MO,272272,SOUTHERN BANK,SMB,POPLAR BLUFF,MO,active,100.0,100.0,"state,city",strong
Elevations Credit Union,Boulder,CO,496087,ELEVATIONS CREDIT UNION,SCU,BOULDER,CO,active,100.0,100.0,"state,city",strong
First Citizens Bank And Trust Company,Raleigh,NC,491224,FIRST-CITIZENS BANK & TRUST COMPANY,NMB,RALEIGH,NC,active,100.0,91.7,"state,city",strong
Sf Police Credit Union,San Bruno,CA,483386,FIRST TECHNOLOGY FEDERAL CREDIT UNION,FCU,SAN JOSE,CA,active,100.0,85.5,"state,city",strong
American National Bank,Danville,WV,481627,"CITIZENS BANK OF WEST VIRGINIA, INC.",NMB,ELKINS,WV,active,100.0,85.5,state,strong
Farm Credit Bank Of Texas,Austin,TX,2183916,FARM CREDIT BANK OF TEXAS,DEO,AUSTIN,TX,active,100.0,100.0,"state,city",strong
Mem Federal Credit Union,Pittsburgh,PA,561172,M E M FEDERAL CREDIT UNION,FCU,PITTSBURGH,PA,closed,100.0,96.0,"state,city",strong
California Credit Union,Glendale,CA,234597,CALIFORNIA FEDERAL CREDIT UNION,FCU,GLENDALE,CA,active,100.0,95.0,"state,city",strong
Signature Bank,Greeley,MN,3207912,"SIGNATURE BANCSHARES, INC.",BHC,MINNETONKA,MN,closed,100.0,86.7,state,strong
Federal Reserve Bank,Colorado Springs,CO,106452,PB&T BANK,NMB,PUEBLO,CO,active,100.0,85.5,state,strong
Chemical Bank,Detroit,MI,2608763,MERCANTILE BANK CORPORATION,FHD,GRAND RAPIDS,MI,active,100.0,85.5,state,strong
Trustmark National Bank,Jackson,MS,749242,RENASANT BANK,SMB,TUPELO,MS,active,100.0,85.5,state,strong
Waukesha State Bank,Waukesha,WI,290249,WAUKESHA STATE BANK,NMB,WAUKESHA,WI,active,100.0,100.0,"state,city",strong
Eastwest Bank,Pasadena,CA,197478,EAST WEST BANK,SMB,PASADENA,CA,active,100.0,96.3,"state,city",strong
Mercantile Bank Of Michigan,Grand Rapids,MI,2608754,MERCANTILE BANK,NMB,GRAND RAPIDS,MI,active,100.0,90.0,"state,city",strong
Truliant Federal Credit Union,Winston-Salem,NC,446185,TRULIANT FEDERAL CREDIT UNION,FCU,WINSTON SALEM,NC,active,100.0,100.0,"state,city",strong
Apple Bank For Savings,New York,NY,902207,BANK FOR SAVINGS,SSB,NEW YORK,NY,closed,100.0,95.0,"state,city",strong
