input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence
Core Bank,Omaha,NE,976552,CORE BANK,NMB,OMAHA,NE,active,100.0,100.0,"state,city",strong
Robins Financial Credit Union,Warner Robins,GA,410784,ROBINS FINANCIAL CREDIT UNION,SCU,WARNER ROBINS,GA,active,100.0,100.0,"state,city",strong
Suncrest Bank,Visalia,CA,3189063,COMMERCIAL BANK OF CALIFORNIA,NMB,IRVINE,CA,active,100.0,85.5,state,strong
Hsa Bank A Divison Of Webster Bank,Milwaukee,WI,224954,HEADWATERS STATE BANK,NMB,LAND O'LAKES,WI,active,100.0,85.5,state,strong
United Auto Credit Corporation,Newport Beach,CA,987987,BEVERLY HILLS CITY EMPLOYEES FEDERAL CREDIT UNION,FCU,BEVERLY HILLS,CA,active,100.0,85.5,state,strong
Idaho Credit Union League,Seatac,WA,419282,PEOPLE'S COMMUNITY FEDERAL CREDIT UNION,FCU,VANCOUVER,WA,active,100.0,85.5,state,strong
German American Bank,Jasper,IN,37640,GERMAN AMERICAN BANK,NMB,JASPER,IN,active,100.0,100.0,"state,city",strong
Nusenda Credit Union,albuquerque,NM,763976,NUSENDA FEDERAL CREDIT UNION,FCU,ALBUQUERQUE,NM,active,100.0,95.0,"state,city",strong
Webster First Federal Credit Union,Worcester,MA,554996,WEBSTER FIRST FEDERAL CREDIT UNION,FCU,WORCESTER,MA,active,100.0,100.0,"state,city",strong
American 1 Credit Union,Jackson,MI,672984,AMERICAN 1 CREDIT UNION,SCU,JACKSON,MI,active,100.0,100.0,"state,city",strong
Schools Financial Credit Union,Sacramento,CA,238090,SCHOOLS FINANCIAL CREDIT UNION,SCU,SACRAMENTO,CA,closed,100.0,100.0,"state,city",strong
Wayne Savings Community Bank,Wooster,OH,847979,COMMUNITY SAVINGS BANK,NMB,BETHEL,OH,active,100.0,95.0,state,strong
Capital Communications Federal Credit Union,Albany,NY,324283,CAPITAL COMMUNICATIONS FEDERAL CREDIT UNION,FCU,ALBANY,NY,closed,100.0,100.0,"state,city",strong
Kirkpatrick Bank,Redmond,OK,67151,KIRKPATRICK BANK,NMB,EDMOND,OK,active,100.0,100.0,"state,city",strong
Landmark Bank,Columbia,LA,535034,LANDMARK BANK,NMB,CLINTON,LA,active,100.0,100.0,state,strong
Northfield Bank,Woodbridge,NJ,3132863,"NORTHFIELD BANCORP, INC.",SLHC,WOODBRIDGE,NJ,active,100.0,86.9,"state,city",strong
Cornhusker Bank,Lincoln,NE,544652,CORNHUSKER BANK,SMB,LINCOLN,NE,active,100.0,100.0,"state,city",strong
Premier Members Credit Union,Boulder,CO,489089,PREMIER MEMBERS FEDERAL CREDIT UNION,FCU,BOULDER,CO,closed,100.0,95.0,"state,city",strong
City National Bank Of West Virginia,Charleston,WV,1011526,CITY NATIONAL BANK OF WEST VIRGINIA,NAT,CHARLESTON,WV,active,100.0,100.0,"state,city",strong
Corporate America Family Credit Union,Elgin,IL,441984,CORPORATE AMERICA FAMILY CREDIT UNION,SCU,ELGIN,IL,active,100.0,100.0,"state,city",strong
Credit One Bank,Las Vegas,NV,639567,"CREDIT ONE BANK, NATIONAL ASSOCIATION",NAT,LAS VEGAS,NV,active,100.0,90.0,"state,city",strong
Busey Bank,Champaign,IL,416245,BUSEY BANK,SMB,CHAMPAIGN,IL,active,100.0,100.0,"state,city",strong
Rockland Federal Credit Union,Rockland,MA,114998,ROCKLAND FEDERAL CREDIT UNION,FCU,ROCKLAND,MA,active,100.0,100.0,"state,city",strong
First Citizens National Bank,Tupelo,TN,966731,FIRST NATIONAL BANK,NAT,ONEIDA,TN,active,100.0,95.0,state,strong
The Farmers Bank,Frankfort,OK,998657,"FARMERS BANK, THE",NMB,CARNEGIE,OK,active,100.0,92.1,state,strong
Extraco Banks,Temple,TX,537560,"EXTRACO BANKS, NATIONAL ASSOCIATION",NAT,TEMPLE,TX,active,100.0,90.0,"state,city",strong
Apex Bank,Camden,TN,51253,APEX BANK,NMB,CAMDEN,TN,active,100.0,100.0,"state,city",strong
Midwestone Bank,Iowa City,CO,106452,PB&T BANK,NMB,PUEBLO,CO,active,100.0,85.5,state,strong
Eglin Federal Credit Union,Fort Walton Beach,FL,91482,EGLIN FEDERAL CREDIT UNION,FCU,FORT WALTON BEACH,FL,active,100.0,100.0,"state,city",strong
Capital Bank,Jacinto City,NC,3409033,CAPITAL BANK STATUTORY TRUST III,DEO,CHARLOTTE,NC,active,100.0,90.0,state,strong
First Federal Savings Bank,Evansville,IN,613679,FIRST FEDERAL SAVINGS BANK,NMB,EVANSVILLE,IN,active,100.0,100.0,"state,city",strong
Anb Bank,Denver,CO,828651,ANB BANK,SMB,DENVER,CO,active,100.0,100.0,"state,city",strong
Coastalstates Bank,Hilton Head Island,SC,3274709,COASTAL STATES BANK,SMB,HILTON HEAD ISLAND,SC,active,100.0,97.3,"state,city",strong
Credit Union Of The Rockies,Golden,CO,740575,CREDIT UNION OF THE ROCKIES,SCU,GOLDEN,CO,active,100.0,100.0,"state,city",strong
Meridian Bank,Paoli,PA,3271799,MERIDIAN BANK,NMB,MALVERN,PA,active,100.0,100.0,state,strong
Servisfirst Bank,Birmingham,AL,3348888,SERVISFIRST BANK,NMB,HOMEWOOD,AL,active,100.0,100.0,state,strong
Mutualone Bank,Framingham,MA,154770,MUTUALONE BANK,CPB,FRAMINGHAM,MA,active,100.0,100.0,"state,city",strong
Parkside Financial Bank & Trust,Clayton,MO,3688043,PARKSIDE FINANCIAL BANK AND TRUST,NMB,CLAYTON,MO,active,100.0,93.8,"state,city",strong
North Island Credit Union,San Diego,CA,398172,NORTH ISLAND FINANCIAL CREDIT UNION,SCU,SAN DIEGO,CA,closed,100.0,95.0,"state,city",strong
Citizens National Bank,Sevierville,CT,961400,ESSEX BANK,SSB,ESSEX,CT,active,100.0,85.5,"state,city",strong
Byron Bank,Byron,IL,325534,BYRON BANK,NMB,BYRON,IL,active,100.0,100.0,"state,city",strong
Northeast Bank,Portland,MN,689357,NORTHEAST BANK,NMB,MINNEAPOLIS,MN,active,100.0,100.0,state,strong
West Gate Bank,Lincoln,NE,207050,WEST GATE BANK,NMB,LINCOLN,NE,active,100.0,100.0,"state,city",strong
New Horizons Credit Union,Co Antrim,AL,239695,NEW HORIZONS CREDIT UNION,SCU,MOBILE,AL,active,100.0,100.0,state,strong
Abnb Federal Credit Union,chesapeake,VA,32887,ABNB FEDERAL CREDIT UNION,FCU,CHESAPEAKE,VA,active,100.0,100.0,"state,city",strong
Illinois National Bank,Springfield,IL,1208670,"WESTERN ILLINOIS NATIONAL BANCSHARES, INC.",BHC,ALEDO,IL,closed,100.0,85.9,"state,city",strong
Middlesex Savings Bank,Natick,MA,888002,MIDDLESEX SAVINGS BANK,NMB,NATICK,MA,active,100.0,100.0,"state,city",strong
Sterling National Bank,Montebello,NY,601416,FIVE STAR BANK,SMB,ROCHESTER,NY,active,100.0,85.5,state,strong
Spire Credit Union,Falcon Hgts,MN,749194,NSP CREDIT UNION,SCU,MAPLEWOOD,MN,active,100.0,88.2,state,strong
Credit International Corporation Ltd,Salt Lake City,UT,1480560,HOME CREDIT CORPORATION,BHC,SALT LAKE CITY,UT,active,100.0,85.5,"state,city",strong
Ponce Bank,Bronx,NY,897170,"PONCE BANK, NATIONAL ASSOCIATION",NAT,BRONX,NY,active,100.0,90.0,"state,city",strong
Florida Community Bank,Weston,FL,92630,FLORIDA COMMUNITY BANK,NMB,IMMOKALEE,FL,closed,100.0,100.0,state,strong
S&T Bank,Indiana,PA,936426,S & T BANK,NMB,INDIANA,PA,active,100.0,88.9,"state,city",strong
Opus Bank,Irvine,CA,2451240,PACIFIC COAST BANKERS' BANK,SMB,WALNUT CREEK,CA,active,100.0,85.5,state,strong
Eaglebank,Bethesda,MD,2652092,EAGLEBANK,SMB,BETHESDA,MD,active,100.0,100.0,"state,city",strong
Farm Credit Of Central Florida,Lakeland,FL,2845997,"FARM CREDIT OF CENTRAL FLORIDA, ACA",DEO,LAKELAND,FL,active,100.0,92.3,"state,city",strong
Bayside Credit,Irvine,CA,47489,"CREDIT UNION OF SOUTHERN CALIFORNIA, A FEDERAL CREDIT UNION",FCU,ANAHEIM,CA,active,100.0,85.5,state,strong
Community First Credit Union,Ashtabula,OH,276391,COMMUNITY FIRST CREDIT UNION,SCU,ASHTABULA,OH,active,100.0,100.0,"state,city",strong
Southern Bancorp Bank,Arkadelphia,AR,852544,SOUTHERN BANCORP BANK,SMB,ARKADELPHIA,AR,active,100.0,100.0,"state,city",strong
Envista Credit Union,Topeka,KS,425498,ENVISTA FEDERAL CREDIT UNION,FCU,TOPEKA,KS,active,100.0,95.0,"state,city",strong
Premier Community Credit Union,Stockton,CA,1007798,PREMIER COMMUNITY CREDIT UNION,SCU,STOCKTON,CA,closed,100.0,100.0,"state,city",strong
Cfe Federal Credit Union,lake mary,FL,557586,UCF FEDERAL CREDIT UNION,FCU,ORLANDO,FL,closed,100.0,95.8,state,strong
American Bank Of Commerce,Wolfforth,CO,969750,AMERICAN BANK OF COMMERCE,SMB,DENVER,CO,closed,100.0,100.0,state,strong
First National Bank Alaska,Anchorage,AK,114260,FIRST NATIONAL BANK ALASKA,NAT,ANCHORAGE,AK,active,100.0,100.0,"state,city",strong
Rio Bank,Mcallen,TX,956750,RIO BANK,NMB,MCALLEN,TX,active,100.0,100.0,"state,city",strong
Pacific Nw Federal Credit Union,Portland,OR,97176,PACIFIC NW FEDERAL CREDIT UNION,FCU,PORTLAND,OR,active,100.0,100.0,"state,city",strong
San Diego County Credit Union,San Diego,CA,301190,SAN DIEGO COUNTY CREDIT UNION,SCU,SAN DIEGO,CA,active,100.0,100.0,"state,city",strong
Palmetto Citizens Federal Credit Union,Columbia,SC,510778,PALMETTO CITIZENS FEDERAL CREDIT UNION,FCU,COLUMBIA,SC,active,100.0,100.0,"state,city",strong
North Brookfield Savings Bank,North Brookfield,MA,528102,NORTH BROOKFIELD SAVINGS BANK,SMB,NORTH BROOKFIELD,MA,active,100.0,100.0,"state,city",strong
Bar Harbor Bank & Trust,Bar Harbor,ME,522605,BAR HARBOR BANK AND TRUST COMPANY,NMB,BAR HARBOR,ME,active,100.0,90.7,"state,city",strong
1St Financial Bank USA,Dakota Dunes,SD,526452,1ST FINANCIAL BANK USA,NMB,DAKOTA DUNES,SD,active,100.0,100.0,"state,city",strong
Bank Of Luxemburg,Luxemburg,WI,580548,BANK OF LUXEMBURG,NMB,LUXEMBURG,WI,active,100.0,100.0,"state,city",strong
Bank Iowa,Oskaloosa,IA,187947,BANK IOWA,SMB,WEST DES MOINES,IA,active,100.0,100.0,state,strong
American First Credit Union,Brea,CA,452186,AMERICAN FIRST CREDIT UNION,SCU,BREA,CA,active,100.0,100.0,"state,city",strong
Citizens & Northern Bank,Wellsboro,PA,895710,CITIZENS & NORTHERN BANK,SMB,WELLSBORO,PA,active,100.0,100.0,"state,city",strong
Barksdale Federal Credit Union,Bossier City,LA,979889,BARKSDALE FEDERAL CREDIT UNION,FCU,BOSSIER CITY,LA,active,100.0,100.0,"state,city",strong
Teachers Credit Union,Beloit,OK,1018150,TEACHERS CREDIT UNION,SCU,OKLAHOMA CITY,OK,active,100.0,100.0,state,strong
Legence Bank,Eldorado,IL,635840,LEGENCE BANK,NMB,ELDORADO,IL,active,100.0,100.0,"state,city",strong
Nw Priority Credit Union,Portland,OR,135993,NW PRIORITY CREDIT UNION,SCU,PORTLAND,OR,active,100.0,100.0,"state,city",strong
First Vision Bank,Tullahoma,TN,3350658,FIRST VISION BANK OF TENNESSEE,SMB,TULLAHOMA,TN,active,100.0,90.0,"state,city",strong
Sky Federal Credit Union,Livingston,MT,133476,SKY FEDERAL CREDIT UNION,FCU,LIVINGSTON,MT,active,100.0,100.0,"state,city",strong
First Home Bank,Saint Petersburg,FL,910994,FIRST CHOICE CREDIT UNION,SCU,WEST PALM BEACH,FL,active,100.0,85.5,state,strong
Granite Credit Union,east millcreek,UT,427791,GRANITE FEDERAL CREDIT UNION,FCU,SALT LAKE CITY,UT,active,100.0,95.0,state,strong
Blue Ridge Bank,Richmond,VA,1426960,"BLUE RIDGE BANKSHARES, INC.",BHC,RICHMOND,VA,active,100.0,90.0,"state,city",strong
Beacon Credit Union,Wabash,VA,1018897,BEACON CREDIT UNION INCORPORATED,SCU,LYNCHBURG,VA,active,100.0,90.0,state,strong
Velocity Credit Union,Austin,TX,560979,VELOCITY CREDIT UNION,SCU,AUSTIN,TX,active,100.0,100.0,"state,city",strong
Credit Union Of America,Wichita,KS,365192,CREDIT UNION OF AMERICA,SCU,WICHITA,KS,active,100.0,100.0,"state,city",strong
Lincoln Savings Bank,Reinbeck,IA,589943,LINCOLN SAVINGS BANK,NMB,REINBECK,IA,active,100.0,100.0,"state,city",strong
Metro Credit Union,Chelsea,MA,110794,METRO CREDIT UNION,SCU,CHELSEA,MA,active,100.0,100.0,"state,city",strong
First National Bank & Trust,Atmore,KY,1231294,FIRST NATIONAL BANK TRUSTEES,BHC,LOUISVILLE,KY,closed,100.0,90.9,state,strong
United Heritage Credit Union,Austin,TX,834885,UNITED HERITAGE CREDIT UNION,SCU,AUSTIN,TX,active,100.0,100.0,"state,city",strong
Washington State Employees Credit Union,Olympia,WA,608198,WASHINGTON STATE EMPLOYEES CREDIT UNION,SCU,OLYMPIA,WA,active,100.0,100.0,"state,city",strong
Alpine Bank,Glenwood Springs,CO,260055,ALPINE BANK,NMB,GLENWOOD SPRINGS,CO,active,100.0,100.0,"state,city",strong
Lone Star Ag Credit,Dallas,TX,546188,LONE STAR CREDIT UNION,SCU,DALLAS,TX,active,100.0,86.9,"state,city",strong
South Florida Educational Federal Credit Union,Miami,FL,80972,EDUCATIONAL FEDERAL CREDIT UNION,FCU,MIAMI,FL,active,100.0,95.0,"state,city",strong
Alliant Credit Union,Chicago,IA,545695,ALLIANCE CREDIT UNION,SCU,DAVENPORT,IA,closed,100.0,92.7,state,strong
The Old Point National Bank Of Phoebus,Hampton,VA,61328,BANK OF PHOEBUS,SMB,HAMPTON,VA,closed,100.0,90.0,"state,city",strong
Dime Community Bank,Hauppauge,NY,23504,DIME COMMUNITY BANK,SMB,BRIDGEHAMPTON,NY,active,100.0,100.0,state,strong
Self-Help Credit Union,Durham,NC,896191,SELF-HELP CREDIT UNION,SCU,DURHAM,NC,active,100.0,100.0,"state,city",strong
Credit Union Of Texas,Dallas,TX,760498,CREDIT UNION OF TEXAS,SCU,DALLAS,TX,active,100.0,100.0,"state,city",strong
Memorial Employees Federal Credit Union,Hollywood,FL,934084,MRMC EMPLOYEES FEDERAL CREDIT UNION,FCU,OCALA,FL,closed,100.0,89.2,"state,city",strong
Malvern Bank National Association,Malverin,PA,872711,BLC BANK NATIONAL ASSOCIATION,NAT,STRASBURG,PA,closed,100.0,88.0,state,strong
National Bank Of Arizona,Tucson,AZ,944663,NATIONAL BANK OF ARIZONA,NAT,SCOTTSDALE,AZ,closed,100.0,100.0,state,strong
Emprise Bank,Wichita,KS,65858,EMPRISE BANK,NMB,WICHITA,KS,active,100.0,100.0,"state,city",strong
Heritage Bank Of Commerce,San Jose,CA,948867,HERITAGE BANK,NMB,ANAHEIM,CA,closed,100.0,90.0,state,strong
First Mid Bank & Trust,Mattoon,IL,762447,"FIRST MID BANK & TRUST, NATIONAL ASSOCIATION",NAT,MATTOON,IL,active,100.0,90.0,"state,city",strong
North Shore Bank Fsb,Brookfield,WI,376273,NORTH SHORE BANK,SSB,BROOKFIELD,WI,active,100.0,95.0,"state,city",strong
Customers Bank,Wyommissing,PA,2354985,CUSTOMERS BANK,SMB,MALVERN,PA,active,100.0,100.0,state,strong
Alma Bank,Astoria,NY,3633173,ALMA BANK,NMB,ASTORIA,NY,active,100.0,100.0,"state,city",strong
Tapco Credit Union,Tacoma,WA,662396,TAPCO CREDIT UNION,SCU,TACOMA,WA,active,100.0,100.0,"state,city",strong
First Southern National Bank,Statesboro,GA,3051021,FIRST SOUTHERN NATIONAL BANK,NAT,STATESBORO,GA,closed,100.0,100.0,"state,city",strong
Unibank For Savings,Whitinsville,MA,709602,UNIBANK FOR SAVINGS,SSB,WHITINSVILLE,MA,active,100.0,100.0,"state,city",strong
Clark County Credit Union,Las Vegas,NV,998086,UNION CREDIT UNION,SCU,SPARKS,NV,closed,100.0,95.0,"state,city",strong
Bank Of Jackson Hole,Jackson,WY,898458,BANK OF JACKSON HOLE TRUST,SMB,JACKSON,WY,active,100.0,95.0,"state,city",strong
"Classic Bank, Na",Cameron,TX,182951,"CLASSIC BANK, NATIONAL ASSOCIATION",NAT,CAMERON,TX,active,100.0,90.0,"state,city",strong
Westerra Credit Union,Denver,CO,235594,WESTERRA CREDIT UNION,SCU,DENVER,CO,active,100.0,100.0,"state,city",strong
Bank Of Commerce,charlotte,OK,152057,BANK OF COMMERCE,SMB,CHELSEA,OK,active,100.0,100.0,"state,city",strong
Marquette Bank,Chicago,IL,716833,MARQUETTE BANK,SMB,CHICAGO,IL,active,100.0,100.0,"state,city",strong
Israel Discount Bank Of New York,Tel Aviv,NY,320119,ISRAEL DISCOUNT BANK OF NEW YORK,NMB,NEW YORK,NY,active,100.0,100.0,state,strong
Ih Mississippi Valley Credit Union,Moline,IL,131892,I. H. MISSISSIPPI VALLEY CREDIT UNION,SCU,MOLINE,IL,active,100.0,95.8,"state,city",strong
Blackhawk Bank & Trust,Milan,IL,890742,BLACKHAWK BANK & TRUST,NMB,MILAN,IL,active,100.0,100.0,"state,city",strong
Massachusetts Bankers Association,Boston,MA,243777,MASSACHUSETTS INSTITUTE OF TECHNOLOGY FEDERAL CREDIT UNION,FCU,CAMBRIDGE,MA,active,100.0,85.5,state,strong
Michigan Schools And Government Credit Union,Clinton Twp,MI,763695,MICHIGAN SCHOOLS AND GOVERNMENT CREDIT UNION,SCU,CLINTON TOWNSHIP,MI,active,100.0,100.0,"state,city",strong
Federal Home Loan Bank of Chicago,Chicago,IL,49148,RUSHVILLE STATE BANK,SMB,RUSHVILLE,IL,active,100.0,85.5,state,strong
Financial Partners Credit Union,Springfield,IL,459297,FINANCIAL PARTNERS CREDIT UNION,SCU,SPRINGFIELD,IL,active,100.0,100.0,"state,city",strong
Esb Bank,Caledonia,PA,277277,SSB BANK,SSB,PITTSBURGH,PA,active,100.0,87.5,state,strong
King County Credit Union,Seattle,WA,201496,KING COUNTY MEDIA CREDIT UNION,SCU,SEATTLE,WA,closed,100.0,95.0,"state,city",strong
American Bank,Allentown,TX,262358,AMERICAN STATE BANK,SMB,ARP,TX,active,100.0,95.0,"state,city",strong
Seattle Metropolitan Credit Union,Seattle,WA,74793,SEATTLE METROPOLITAN CREDIT UNION,SCU,SEATTLE,WA,active,100.0,100.0,"state,city",strong
Solvay Bank,Solvay,NY,722816,SOLVAY BANK,SMB,SOLVAY,NY,active,100.0,100.0,"state,city",strong
Unitus Community Credit Union,Portland,OR,219594,UNITUS COMMUNITY CREDIT UNION,SCU,TIGARD,OR,active,100.0,100.0,state,strong
Sterling Bank Plc,Poplar Bluff,CA,3189063,COMMERCIAL BANK OF CALIFORNIA,NMB,IRVINE,CA,active,100.0,85.5,state,strong
Central Bank,Storm Lake,CA,89162,WELLS FARGO CENTRAL BANK,NMB,CALABASAS,CA,closed,100.0,90.0,state,strong
Cb&S Bank,Russellville,AL,594433,"CB&S BANK, INC.",NMB,RUSSELLVILLE,AL,active,100.0,90.0,"state,city",strong
Fort Worth Community Credit Union,Bedford,TX,325271,FORT WORTH COMMUNITY CREDIT UNION,SCU,BEDFORD,TX,active,100.0,100.0,"state,city",strong
Amboy Bank,Old Bridge,NJ,9807,AMBOY BANK,SMB,OLD BRIDGE,NJ,active,100.0,100.0,"state,city",strong
Star One Credit Union,Sunnyvale,CA,472988,STAR ONE CREDIT UNION,SCU,SUNNYVALE,CA,active,100.0,100.0,"state,city",strong
Westpac Banking Corporation,New York,NY,2378280,MTB BANKING CORPORATION,DEO,NEW YORK,NY,active,100.0,86.0,"state,city",strong
Cornerstone Bank,Mt. Laurel,KS,3027763,CORNERSTONE BANK,NMB,OVERLAND PARK,KS,active,100.0,100.0,state,strong
Fairwinds Credit Union,Orlando,FL,414371,FAIRWINDS CREDIT UNION,SCU,ORLANDO,FL,active,100.0,100.0,"state,city",strong
Truservice Community Federal Credit Union,Little Rock,AR,616894,TRUSERVICE COMMUNITY FEDERAL CREDIT UNION,FCU,LITTLE ROCK,AR,active,100.0,100.0,"state,city",strong
Landmark National Bank,Manhattan,KS,481177,LANDMARK NATIONAL BANK,NAT,MANHATTAN,KS,active,100.0,100.0,"state,city",strong
Bank Of England Mortgage,England,AR,3268182,BANK OF ENGLAND MORTGAGE COMPANY,DEO,LITTLE ROCK,AR,closed,100.0,95.0,state,strong
Bank Of Feather River,Yuba City,CA,47489,"CREDIT UNION OF SOUTHERN CALIFORNIA, A FEDERAL CREDIT UNION",FCU,ANAHEIM,CA,active,100.0,85.5,state,strong
Northwest Bank & Trust Company,Davenport,IA,952846,BANK,SMB,WAPELLO,IA,active,100.0,90.0,state,strong
Atlas Credit,Tyler,TX,100188,VALWOOD PARK FEDERAL CREDIT UNION,FCU,CARROLLTON,TX,active,100.0,85.5,state,strong
Crossfirst Bank,Leawood,KS,49652,FIRST BANK,NMB,STERLING,KS,active,100.0,90.0,state,strong
Virginia Credit Union,richmond,VA,807795,VIRGINIA FEDERAL CREDIT UNION,FCU,NORTH CHESTERFIELD,VA,active,100.0,95.0,state,strong
Bankstar Financial,Elkton,SD,109453,BANKSTAR FINANCIAL,NMB,ELKTON,SD,active,100.0,100.0,"state,city",strong
Chevron Federal Credit Union,Oakland,CA,414894,CHEVRON FEDERAL CREDIT UNION,FCU,CONCORD,CA,active,100.0,100.0,state,strong
Federal Savings Bank,Dover,NH,193005,NUMERICA SAVINGS BANK FEDERAL SAVINGS BANK,FSB,MANCHESTER,NH,closed,100.0,90.0,"state,city",strong
The Camden National Bank,Camden,ME,593007,CAMDEN NATIONAL BANK,NAT,CAMDEN,ME,active,100.0,95.0,"state,city",strong
Austin Telco Federal Credit Union,Austin,TX,774,AUSTIN TELCO FEDERAL CREDIT UNION,FCU,AUSTIN,TX,active,100.0,100.0,"state,city",strong
First Southwest Bank,Alamosa,CO,3224302,FIRST SOUTHWEST BANK,NMB,DURANGO,CO,active,100.0,100.0,state,strong
Fulton Bank,Lancaster,KY,641449,"CITIZENS BANK AND TRUST OF LEBANON, INC.",SMB,LEBANON,KY,active,100.0,85.5,state,strong
Premier Bank,Rock Valley,IA,2539960,PREMIER BANK,NMB,ROCK VALLEY,IA,active,100.0,100.0,"state,city",strong
Bank Of Blue Valley,overland park,KS,366854,KENDALL BANK,NMB,OVERLAND PARK,KS,active,100.0,85.5,"state,city",strong
Totalbank,Miami,FL,1021235,TOTALBANK CORPORATION OF FLORIDA,BHC,MIAMI,FL,closed,100.0,90.0,"state,city",strong
First Security Bank,Batesville,AR,673440,FIRST SECURITY BANK,SMB,SEARCY,AR,active,100.0,100.0,state,strong
American Federal Bank,Fargo,ND,637170,AMERICAN FEDERAL BANK,FSB,FARGO,ND,active,100.0,100.0,"state,city",strong
Miami University Community Federal Credit Union,Oxford,OH,912783,MIAMI UNIVERSITY COMMUNITY FEDERAL CREDIT UNION,FCU,OXFORD,OH,active,100.0,100.0,"state,city",strong
East Idaho Credit Union,Idaho Falls,ID,223377,COTTONWOOD COMMUNITY FEDERAL CREDIT UNION,FCU,COTTONWOOD,ID,active,100.0,85.5,state,strong
Credit Union Of Colorado,Denver,CO,379386,COLORADO CREDIT UNION,SCU,LITTLETON,CO,active,100.0,95.0,state,strong
Central State Bank,Calera,IA,678744,CENTRAL STATE BANK,SMB,CORALVILLE,IA,active,100.0,100.0,"state,city",strong
Ephrata National Bank,Ephrata,PA,425911,EPHRATA NATIONAL BANK,NAT,EPHRATA,PA,active,100.0,100.0,"state,city",strong
"Midstates Bank, Na",Council Bluffs,IA,952846,BANK,SMB,WAPELLO,IA,active,100.0,90.0,state,strong
Del-One Federal Credit Union,dover,DE,186780,DEL-ONE FEDERAL CREDIT UNION,FCU,DOVER,DE,active,100.0,100.0,"state,city",strong
First State Bank,Mendota,TX,719964,FIRST STATE BANK,NMB,PAINT ROCK,TX,active,100.0,100.0,state,strong
Merchants Bank,Winona,MN,779351,"MERCHANTS BANK, NATIONAL ASSOCIATION",NAT,WINONA,MN,active,100.0,90.0,"state,city",strong
American Heritage Bank,Sapulpa,OK,311050,AMERICAN HERITAGE BANK,SMB,SAPULPA,OK,active,100.0,100.0,"state,city",strong
Hometrust Bank,Asheville,NC,212577,HOMETRUST BANK,SMB,ASHEVILLE,NC,active,100.0,100.0,"state,city",strong
Schoolsfirst Federal Credit Union,Tustin,CA,937898,SCHOOLSFIRST FEDERAL CREDIT UNION,FCU,TUSTIN,CA,active,100.0,100.0,"state,city",strong
Anchor Bank,Palm Beach Gardens,IL,1205222,"ANCHOR BANCORPORATION, INC.",BHC,ANCHOR,IL,active,100.0,85.7,"state,city",strong
Far East National Bank,Los Angeles,CA,289869,FIRST NATIONAL BANK,NAT,WILLOWS,CA,closed,100.0,87.8,"state,city",strong
1st Source Bank,South Bend,IN,991340,1ST SOURCE BANK,SMB,SOUTH BEND,IN,active,100.0,100.0,"state,city",strong
Amplify Credit Union,Austin,TX,583286,AMPLIFY CREDIT UNION,SCU,AUSTIN,TX,active,100.0,100.0,"state,city",strong
State Department Federal Credit Union,Alexandria,VA,730772,STATE DEPARTMENT FEDERAL CREDIT UNION,FCU,ALEXANDRIA,VA,active,100.0,100.0,"state,city",strong
Farmington Bank,Farmington,CT,407506,ION BANK,SMB,NAUGATUCK,CT,active,100.0,85.5,state,strong
Security Service Federal Credit Union,San Antonio,TX,666581,SECURITY SERVICE FEDERAL CREDIT UNION,FCU,SAN ANTONIO,TX,active,100.0,100.0,"state,city",strong
Central National Bank,Junction City,OK,830355,FIRST NATIONAL BANK & TRUST COMPANY OF MCALESTER,NAT,MCALESTER,OK,active,100.0,85.5,state,strong
Tri Counties Bank,Chico,CO,106452,PB&T BANK,NMB,PUEBLO,CO,active,100.0,85.5,state,strong
Sidney Federal Credit Union,walton,NY,508177,SIDNEY FEDERAL CREDIT UNION,FCU,SIDNEY,NY,active,100.0,100.0,state,strong
Spokane Teachers Credit Union,Liberty Lake,WA,678892,SPOKANE TEACHERS CREDIT UNION,SCU,LIBERTY LAKE,WA,active,100.0,100.0,"state,city",strong
Pawtucket Credit Union,Pawtucket,RI,231297,CRANSTON MUNICIPAL EMPLOYEES CREDIT UNION,SCU,CRANSTON,RI,active,100.0,85.5,state,strong
Bank Of Bird In Hand,Bird In Hand,PA,4536084,BANK OF BIRD-IN-HAND,NMB,BIRD IN HAND,PA,active,100.0,90.0,"state,city",strong
Sharonview Federal Credit Union,greer,SC,942584,SHARONVIEW FEDERAL CREDIT UNION,FCU,INDIAN LAND,SC,active,100.0,100.0,state,strong
The Ohio Educational Credit Union,Seven Hills,OH,135292,"OHIO EDUCATIONAL CREDIT UNION, INC., THE",SCU,SEVEN HILLS,OH,active,100.0,85.9,"state,city",strong
Home Federal Savings Bank,Rochester,MD,359472,HOMEWOOD FEDERAL SAVINGS BANK,FSB,BALTIMORE,MD,active,100.0,92.6,state,strong
Peoples National Bank,Winters,VA,137924,PEOPLES NATIONAL BANK,NAT,GLOUCESTER,VA,closed,100.0,100.0,state,strong
First Utah Bank,Salt Lake City,UT,207872,FIRST UTAH BANK,NMB,SALT LAKE CITY,UT,active,100.0,100.0,"state,city",strong
American National Bank Of Texas,Terrell,TX,544063,AMERICAN NATIONAL BANK,NAT,TYLER,TX,closed,100.0,95.0,"state,city",strong
Americu Credit Union,Rome,NY,12281,AMERICU CREDIT UNION,SCU,ROME,NY,active,100.0,100.0,"state,city",strong
